Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
Ukiyoe,,浮世絵,Ukiyo-e,浮世绘,浮世繪,우키요에,Ukiyo-e,أوكييو-إه,Ukiyo-e
BasicGroup,,基本,Basic,基本,基本,기본,Básico,أساسي,Dasar
LineGroup,,主線,Line,主线,主線,주선,Línea,الخط,Garis
ColorGroup,,色面,Color,色面,色面,색면,Color,اللون,Warna
CraftGroup,,意匠,Craft,工艺,工藝,의장,Artesanía,الحرفة,Kerajinan
Amount,,強さ,Amount,强度,強度,강도,Intensidad,الشدة,Intensitas
AmountDescription,,浮世絵調の合成量です,Blend amount of the woodblock print over the source,浮世绘风格与源图像的混合量,浮世繪風格與源圖像的混合量,우키요에 스타일의 합성량입니다,Cantidad de mezcla del estilo de grabado sobre la imagen,مقدار مزج أسلوب الطباعة الخشبية فوق الصورة,Jumlah pencampuran gaya cetak kayu di atas citra
Quality,,品質,Quality,品质,品質,품질,Calidad,الجودة,Kualitas
QualityDescription,,処理格子の解像度と反復回数を選びます,Selects the processing grid resolution and iteration counts,选择处理网格分辨率与迭代次数,選擇處理網格解析度與迭代次數,처리 격자 해상도와 반복 횟수를 선택합니다,Selecciona la resolución de la retícula de proceso y el número de iteraciones,يحدد دقة شبكة المعالجة وعدد التكرارات,Memilih resolusi kisi pemrosesan dan jumlah iterasi
LineWidth,,線の太さ,Line width,线条粗细,線條粗細,선 굵기,Grosor de línea,سمك الخط,Ketebalan garis
LineWidthDescription,,主線の太さです。輪郭検出の中心ガウスの幅を決めます,Thickness of the key-block lines. Sets the center Gaussian width of the edge detection,主线的粗细。决定轮廓检测中心高斯的宽度,主線的粗細。決定輪廓檢測中心高斯的寬度,주선의 굵기입니다. 윤곽 검출 중심 가우스의 폭을 정합니다,Grosor de las líneas principales. Define el ancho de la gaussiana central de la detección de bordes,سمك الخطوط الرئيسية. يحدد عرض الغاوسية المركزية لاكتشاف الحواف,Ketebalan garis utama. Menentukan lebar Gaussian pusat deteksi tepi
Coherence,,線の流れ,Coherence,线条连贯,線條連貫,선 흐름,Coherencia,تماسك الخط,Koherensi
CoherenceDescription,,エッジ接線流に沿って応答を集める長さです。高いほど線がつながります,Length of accumulation along the edge tangent flow. Higher values connect the lines,沿边缘切线流累积响应的长度。数值越高线条越连贯,沿邊緣切線流累積響應的長度。數值越高線條越連貫,에지 접선류를 따라 응답을 모으는 길이입니다. 높을수록 선이 이어집니다,Longitud de acumulación a lo largo del flujo tangente de bordes. Valores altos conectan las líneas,طول التجميع على طول تدفق مماس الحواف. القيم الأعلى تصل الخطوط,Panjang akumulasi di sepanjang aliran tangen tepi. Nilai tinggi menyambungkan garis
LineDetail,,線の量,Line detail,线条数量,線條數量,선의 양,Detalle de línea,كمية الخطوط,Detail garis
